rho,场景数_S,终端软区间半宽_h_kWh,随机种子,评价天数,计划与调整结算费_元,紧急购电费_元,实际总费用_元,紧急购电量_kWh,富余电量_kWh,平均日末SOC_kWh,年末SOC_kWh,平均单日求解时间_s,最大场景平衡残差_kWh,最大SOC递推残差_kWh,跨日SOC残差_kWh,最大实际平衡残差_kWh,最大充电量_kWh,最大放电量_kWh,同时充放电时段数,全部校验通过,扫描参数
0.5,100,1000.0,0,334,14418748.229724962,878534.9413678893,15297283.171092853,218492.4825039918,2892215.871080312,5921.6052118852995,6483.826896022114,1.2212157212574868,9.538325684843585e-11,1.7143975128419697e-09,0.0,2.2737367544323206e-13,833.3333333333345,833.3333333333343,0,True,rho
0.8,100,1000.0,0,334,14445630.437580476,885786.1745634304,15331416.612143906,221148.80018366396,2933900.888996823,5937.906865141626,6501.106417262355,1.1646937589820356,7.344169716816396e-10,1.4371705586482346e-09,0.0,2.2737367544323206e-13,833.3333333333353,833.3333333333343,0,True,rho
0.95,100,1000.0,0,334,14469308.987495482,895020.3741369026,15364329.361632384,224011.56723560288,2968648.787246325,5950.779131317509,6522.284976232444,2.514684645209582,8.117240213323385e-11,1.000444171950221e-11,0.0,2.2737367544323206e-13,833.3333333333588,833.3333333333343,0,True,rho
0.8,50,1000.0,0,334,14449880.615240172,906989.9059597211,15356870.521199891,226989.95293686655,2932171.944062992,5951.51137921601,6602.925389779934,1.4987207104790352,3.454942998359911e-10,5.825313564855605e-10,0.0,2.2737367544323206e-13,833.3333333333334,833.3333333333343,0,True,S
0.8,50,1000.0,1,334,14471601.09475163,877247.6788901349,15348848.773641765,218796.83488527045,2948219.4660392934,5942.526735548076,6291.5678436450435,1.433055789221557,9.00399754755199e-11,7.753442332614213e-11,0.0,2.2737367544323206e-13,833.3333333333334,833.3333333333343,0,True,S
0.8,50,1000.0,2,334,14464475.776267145,914386.0957744218,15378861.872041564,228519.5761576693,2942976.531701171,5935.9095223006,6210.6291150344205,1.5129339517964087,3.2309799280483276e-10,2.532374310248997e-10,0.0,2.2737367544323206e-13,833.3333333333334,833.3333333333343,0,True,S
0.8,50,1000.0,3,334,14455202.132898202,893069.5137388154,15348271.646637019,223702.92098482026,2938400.0998106617,5954.869274597157,6572.640994658337,1.1855195655688568,4.3655745685100555e-11,2.3575807972520124e-11,0.0,2.2737367544323206e-13,833.3333333333334,833.3333333333343,0,True,S
0.8,50,1000.0,4,334,14461206.890607111,891807.5195134573,15353014.41012057,223316.09545814205,2938052.5061394535,5953.062909282263,6548.250185823645,0.8765785751496944,6.399432095349766e-10,5.289280124998186e-11,0.0,2.2737367544323206e-13,833.3333333333335,833.3333333333343,0,True,S
0.8,100,1000.0,0,334,14445630.437580476,885786.1745634304,15331416.612143906,221148.80018366396,2933900.888996823,5937.906865141626,6501.106417262355,1.4412305341317302,7.344169716816396e-10,1.4371705586482346e-09,0.0,2.2737367544323206e-13,833.3333333333353,833.3333333333343,0,True,S
0.8,100,1000.0,1,334,14453096.582895104,877740.8614049437,15330837.444300048,218813.712364087,2937796.458135102,5932.339638714818,6377.405041616414,1.463114869161685,3.3367086871294305e-10,3.658442437881604e-10,0.0,2.2737367544323206e-13,833.3333333333337,833.3333333333343,0,True,S
0.8,100,1000.0,2,334,14458989.568002332,886604.8321362103,15345594.400138542,221603.11726043545,2944002.978237548,5928.459882636217,6336.671211706629,1.195852757185622,6.651816875091754e-10,1.3413909982773475e-09,0.0,2.2737367544323206e-13,833.3333333333369,833.3333333333343,0,True,S
0.8,100,1000.0,3,334,14445035.928336341,885570.478848476,15330606.407184813,221139.7432307068,2928548.2930026697,5930.305546767534,6617.392418458302,1.3884975023952257,2.8899194148834795e-10,3.00252622764674e-09,0.0,2.8421709430404007e-13,833.3333333333336,833.3333333333343,0,True,S
0.8,100,1000.0,4,334,14452583.754787832,880988.5749607643,15333572.329748599,220197.26332968712,2929517.30528139,5945.3715877860595,6410.804190339971,1.4285019224551074,1.7212187231052667e-10,3.61524143954739e-11,0.0,2.2737367544323206e-13,833.3333333333334,833.3333333333343,0,True,S
0.8,200,1000.0,0,334,14447286.500791132,870262.7168210552,15317549.217612185,217680.10562285647,2934679.4490437866,5916.655629503008,6590.883601571075,2.239923670658689,5.27096233327029e-09,3.780762369842705e-10,0.0,2.2737367544323206e-13,833.3333333333336,833.3333333333343,0,True,S
0.8,200,1000.0,1,334,14454200.35701875,862473.346081834,15316673.703100584,215232.4576916464,2939554.0569530367,5905.784953612561,6458.492499132612,2.010246211976038,5.662741386913694e-10,1.071498445526231e-11,0.0,2.2737367544323206e-13,833.333333333335,833.3333333333343,0,True,S
0.8,200,1000.0,2,334,14447121.826383503,868175.6372797356,15315297.463663237,217232.16087346565,2929397.317514902,5907.360371144384,6332.230384349081,1.8663363359281395,7.380549504887313e-10,7.594290256960421e-11,0.0,2.2737367544323206e-13,833.3333333333336,833.3333333333343,0,True,S
0.8,200,1000.0,3,334,14448033.28992384,865855.5888186637,15313888.878742503,216303.986615357,2930600.3513805815,5906.161605301611,6639.462526398189,1.8794422437125624,3.709885731950635e-10,7.003109203651547e-11,0.0,2.2737367544323206e-13,833.3333333333334,833.3333333333343,0,True,S
0.8,200,1000.0,4,334,14450831.207537018,876607.6187063716,15327438.82624339,218762.9914507958,2927352.543104644,5898.756495175066,6296.2786079754815,1.878483528742512,1.4821580407442525e-08,1.8098944565281272e-10,0.0,2.8421709430404007e-13,833.3333333333338,833.3333333333343,0,True,S
0.8,100,500.0,0,334,14447974.061510704,885799.3069375337,15333773.36844824,221179.87685251565,2934166.039840088,6437.906865141626,7001.106417262355,1.2423380979041927,1.2931877790833823e-10,1.4371705586482346e-09,0.0,2.2737367544323206e-13,833.3333333333336,833.3333333333343,0,True,h
0.8,100,1000.0,0,334,14445630.437580476,885786.1745634304,15331416.612143906,221148.80018366396,2933900.888996823,5937.906865141626,6501.106417262355,1.2514241473053882,7.344169716816396e-10,1.4371705586482346e-09,0.0,2.2737367544323206e-13,833.3333333333353,833.3333333333343,0,True,h
0.8,100,1500.0,0,334,14443328.719268799,885865.3622840737,15329194.08155287,221181.2274878818,2933708.2364242454,5437.9068651416255,6001.106417262355,1.2927956991017904,6.835989552200772e-10,6.218670023372397e-11,0.0,2.2737367544323206e-13,833.3333333333342,833.3333333333343,0,True,h
