类别,方案,更新时点,实际总费用_元,累计节省或信息损失_元,紧急购电量_kWh,数据来源
问题二终端机制,固定 6000 kWh 终端基线,—,14640006.24,0.0,315212.26,最终论文/正式消融缓存
问题二终端机制,下移余弦、无风险微调,—,14637301.67,-2704.57,314874.98,最终论文/正式消融缓存
问题二终端机制,下移余弦、因果风险微调,—,14637169.37,-2836.86,314788.59,最终论文/正式消融缓存
问题三滚动,仅 0:00,0:00,14861411.71,0.0,304969.31,最终论文
问题三滚动,增加 6:00,0:00、6:00,14653421.12,207990.59,234948.66,最终论文
问题三滚动,增加 12:00,0:00、6:00、12:00,14513256.1,348155.61,228030.97,最终论文
问题三滚动,全部四时点,0:00、6:00、12:00、18:00,14510355.99,351055.72,227494.17,最终论文
问题四 4-3 滚动,仅 0:00,0:00,15778106.07,0.0,322925.46,最终论文
问题四 4-3 滚动,增加 6:00,0:00、6:00,15553894.38,224211.69,245602.58,最终论文
问题四 4-3 滚动,增加 12:00,0:00、6:00、12:00,15397581.11,380524.96,233774.31,最终论文
问题四 4-3 滚动,全部四时点,0:00、6:00、12:00、18:00,15393286.54,384819.53,233383.17,最终论文
问题四价格下界,4-2 现实预测,—,15529514.78,,305254.47,最终论文
问题四价格下界,4-2 价格完全信息下界,—,15386096.19,143418.6,,最终论文
问题四价格下界,4-3 现实预测,—,15393286.54,,233383.17,最终论文
问题四价格下界,4-3 价格完全信息下界,—,15236867.28,156419.25,,最终论文
